source,target,value
Burma,Alpharetta,12
Burma,Atlanta,2337
Burma,Avondale Estates,112
Burma,Clarkston,1576
Burma,Decatur,2140
Burma,Duluth,99
Burma,Lawrenceville,22
Burma,Norcross,18
Burma,Roswell,26
Burma,Stone Mountain,974
Burma,Tucker,45
Bhutan,Alpharetta,85
Bhutan,Atlanta,1708
Bhutan,Avondale Estates,79
Bhutan,Clarkston,1879
Bhutan,Decatur,1249
Bhutan,Duluth,13
Bhutan,Lawrenceville,9
Bhutan,Lilburn,145
Bhutan,Norcross,19
Bhutan,Roswell,18
Bhutan,Stone Mountain,518
Bhutan,Tucker,16
Somalia,Alpharetta,3
Somalia,Atlanta,1097
Somalia,Clarkston,182
Somalia,Decatur,608
Somalia,Lawrenceville,9
Somalia,Norcross,11
Somalia,Roswell,2
Somalia,Stone Mountain,516
Somalia,Tucker,17
Iraq,Alpharetta,18
Iraq,Atlanta,673
Iraq,Clarkston,155
Iraq,Decatur,787
Iraq,Duluth,37
Iraq,Lawrenceville,82
Iraq,Lilburn,34
Iraq,Norcross,21
Iraq,Roswell,53
Iraq,Stone Mountain,269
Iraq,Tucker,42
DR Congo,Atlanta,836
DR Congo,Clarkston,32
DR Congo,Decatur,159
DR Congo,Duluth,1
DR Congo,Lawrenceville,1
DR Congo,Stone Mountain,233
Eritrea,Atlanta,331
Eritrea,Avondale Estates,19
Eritrea,Clarkston,98
Eritrea,Decatur,243
Eritrea,Duluth,1
Eritrea,Lawrenceville,1
Eritrea,Lilburn,10
Eritrea,Norcross,6
Eritrea,Stone Mountain,179
Eritrea,Tucker,3
Burundi,Atlanta,99
Burundi,Clarkston,1
Burundi,Decatur,318
Burundi,Stone Mountain,113
Iran,Alpharetta,73
Iran,Atlanta,215
Iran,Clarkston,16
Iran,Decatur,96
Iran,Duluth,4
Iran,Lawrenceville,17
Iran,Lilburn,3
Iran,Norcross,27
Iran,Roswell,26
Iran,Stone Mountain,24
Iran,Tucker,16
Sudan,Atlanta,255
Sudan,Clarkston,79
Sudan,Decatur,81
Sudan,Stone Mountain,102
Ethiopia,Atlanta,128
Ethiopia,Avondale Estates,6
Ethiopia,Clarkston,57
Ethiopia,Decatur,134
Ethiopia,Lawrenceville,12
Ethiopia,Norcross,4
Ethiopia,Stone Mountain,123
Cuba,Atlanta,161
Cuba,Clarkston,5
Cuba,Decatur,86
Cuba,Lawrenceville,69
Cuba,Lilburn,12
Cuba,Norcross,5
Cuba,Stone Mountain,55
Afghanistan,Atlanta,147
Afghanistan,Clarkston,10
Afghanistan,Decatur,120
Afghanistan,Lawrenceville,2
Afghanistan,Stone Mountain,61
Afghanistan,Tucker,1
Russia,Atlanta,97
Russia,Clarkston,1
Russia,Decatur,55
Russia,Roswell,3
Russia,Stone Mountain,72
Central African Rep,Atlanta,103
Central African Rep,Clarkston,15
Central African Rep,Decatur,39
Central African Rep,Stone Mountain,36
Pakistan,Atlanta,98
Pakistan,Clarkston,13
Pakistan,Decatur,42
Pakistan,Lawrenceville,4
Pakistan,Stone Mountain,21
Vietnam,Atlanta,11
Vietnam,Clarkston,7
Vietnam,Decatur,56
Vietnam,Duluth,5
Vietnam,Lawrenceville,24
Vietnam,Lilburn,4
Vietnam,Norcross,17
Vietnam,Stone Mountain,45
Vietnam,Tucker,5
Colombia,Atlanta,74
Colombia,Clarkston,8
Colombia,Decatur,56
Colombia,Lawrenceville,6
Colombia,Stone Mountain,1
Palestine,Atlanta,43
Palestine,Clarkston,18
Palestine,Decatur,62
Palestine,Stone Mountain,18
Liberia,Atlanta,23
Liberia,Avondale Estates,5
Liberia,Clarkston,37
Liberia,Decatur,20
Liberia,Lawrenceville,24
Liberia,Norcross,1
Liberia,Stone Mountain,14
Syria,Atlanta,90
Syria,Decatur,1
Syria,Stone Mountain,11
